Team,Result,For,Aga,Diff,HTf,HTa,Opposition,Ground,Match Date
England,lost,12,16,-4,9,13,v France,Twickenham,25-Feb-67
England,won,27,14,13,8,11,v Scotland,Twickenham,18-Mar-67
England,lost,21,34,-13,6,14,v Wales,Cardiff,15-Apr-67
England,lost,11,23,-12,5,18,v New Zealand,Twickenham,04-Nov-67
England,draw,11,11,0,8,3,v Wales,Twickenham,20-Jan-68
England,draw,9,9,0,6,6,v Ireland,Twickenham,10-Feb-68
England,lost,9,14,-5,6,3,v France,Colombes,24-Feb-68
England,won,8,6,2,0,6,v Scotland,Murrayfield,16-Mar-68
England,lost,15,17,-2,9,9,v Ireland,Lansdowne Road,08-Feb-69
England,won,22,8,14,11,5,v France,Twickenham,22-Feb-69
England,won,8,3,5,5,0,v Scotland,Twickenham,15-Mar-69
England,lost,9,30,-21,3,3,v Wales,Cardiff,12-Apr-69
England,won,11,8,3,3,8,v South Africa,Twickenham,20-Dec-69
England,won,9,3,6,0,3,v Ireland,Twickenham,14-Feb-70
England,lost,13,17,-4,13,3,v Wales,Twickenham,28-Feb-70
England,lost,5,14,-9,0,6,v Scotland,Murrayfield,21-Mar-70
England,lost,13,35,-22,0,14,v France,Colombes,18-Apr-70
England,lost,6,22,-16,3,16,v Wales,Cardiff,16-Jan-71
England,won,9,6,3,9,3,v Ireland,Lansdowne Road,13-Feb-71
England,draw,14,14,0,14,6,v France,Twickenham,27-Feb-71
England,lost,15,16,-1,9,5,v Scotland,Twickenham,20-Mar-71
England,lost,6,26,-20,3,11,v Scotland,Murrayfield,27-Mar-71
England,lost,11,28,-17,3,3,v Pres XV,Twickenham,17-Apr-71
England,lost,3,12,-9,3,6,v Wales,Twickenham,15-Jan-72
England,lost,12,16,-4,9,3,v Ireland,Twickenham,12-Feb-72
England,lost,12,37,-25,6,15,v France,Colombes,26-Feb-72
England,lost,9,23,-14,3,14,v Scotland,Murrayfield,18-Mar-72
England,won,18,9,9,9,6,v South Africa,Johannesburg,03-Jun-72
England,lost,0,9,-9,0,6,v New Zealand,Twickenham,06-Jan-73
England,lost,9,25,-16,6,12,v Wales,Cardiff,20-Jan-73
England,lost,9,18,-9,3,12,v Ireland,Lansdowne Road,10-Feb-73
England,won,14,6,8,7,0,v France,Twickenham,24-Feb-73
England,won,20,13,7,8,0,v Scotland,Twickenham,17-Mar-73
England,won,16,10,6,6,10,v New Zealand,Auckland,15-Sep-73
England,won,20,3,17,7,0,v Australia,Twickenham,17-Nov-73
England,lost,14,16,-2,7,9,v Scotland,Murrayfield,02-Feb-74
England,lost,21,26,-5,6,10,v Ireland,Twickenham,16-Feb-74
England,draw,12,12,0,0,6,v France,Parc des Princes,02-Mar-74
England,won,16,12,4,7,9,v Wales,Twickenham,16-Mar-74
England,lost,9,12,-3,9,6,v Ireland,Lansdowne Road,18-Jan-75
England,lost,20,27,-7,10,12,v France,Twickenham,01-Feb-75
England,lost,4,20,-16,0,16,v Wales,Cardiff,15-Feb-75
England,won,7,6,1,3,3,v Scotland,Twickenham,15-Mar-75
England,lost,9,16,-7,6,7,v Australia,Sydney,24-May-75
England,lost,21,30,-9,15,9,v Australia,Brisbane,31-May-75
England,won,23,6,17,6,3,v Australia,Twickenham,03-Jan-76
England,lost,9,21,-12,6,15,v Wales,Twickenham,17-Jan-76
England,lost,12,22,-10,12,9,v Scotland,Murrayfield,21-Feb-76
England,lost,12,13,-1,9,0,v Ireland,Twickenham,06-Mar-76
England,lost,9,30,-21,3,10,v France,Parc des Princes,20-Mar-76
England,won,26,6,20,13,6,v Scotland,Twickenham,15-Jan-77
England,won,4,0,4,-,-,v Ireland,Lansdowne Road,05-Feb-77
England,lost,3,4,-1,-,-,v France,Twickenham,19-Feb-77
England,lost,9,14,-5,6,7,v Wales,Cardiff,05-Mar-77
England,lost,6,15,-9,6,3,v France,Parc des Princes,21-Jan-78
England,lost,6,9,-3,6,3,v Wales,Twickenham,04-Feb-78
England,won,15,0,15,9,0,v Scotland,Murrayfield,04-Mar-78
England,won,15,9,6,6,0,v Ireland,Twickenham,18-Mar-78
England,lost,6,16,-10,6,10,v New Zealand,Twickenham,25-Nov-78
England,draw,7,7,0,7,4,v Scotland,Twickenham,03-Feb-79
England,lost,7,12,-5,3,6,v Ireland,Lansdowne Road,17-Feb-79
England,won,7,6,1,3,0,v France,Twickenham,03-Mar-79
England,lost,3,27,-24,3,7,v Wales,Cardiff,17-Mar-79
England,lost,9,10,-1,3,10,v New Zealand,Twickenham,24-Nov-79
England,won,24,9,15,15,9,v Ireland,Twickenham,19-Jan-80
England,won,17,13,4,14,7,v France,Parc des Princes,02-Feb-80
England,won,9,8,1,3,4,v Wales,Twickenham,16-Feb-80
England,won,30,18,12,19,3,v Scotland,Murrayfield,15-Mar-80
England,lost,19,21,-2,10,12,v Wales,Cardiff,17-Jan-81
England,won,23,17,6,9,7,v Scotland,Twickenham,21-Feb-81
England,won,10,6,4,4,6,v Ireland,Lansdowne Road,07-Mar-81
England,lost,12,16,-4,0,16,v France,Twickenham,21-Mar-81
England,draw,19,19,0,4,7,v Argentina,Buenos Aires,30-May-81
England,won,12,6,6,6,0,v Argentina,Buenos Aires,06-Jun-81
England,won,15,11,4,6,3,v Australia,Twickenham,02-Jan-82
England,draw,9,9,0,9,6,v Scotland,Murrayfield,16-Jan-82
England,lost,15,16,-1,3,10,v Ireland,Twickenham,06-Feb-82
England,won,27,15,12,12,6,v France,Parc des Princes,20-Feb-82
England,won,17,7,10,14,7,v Wales,Twickenham,06-Mar-82
England,lost,15,19,-4,9,3,v France,Twickenham,15-Jan-83
England,draw,13,13,0,7,6,v Wales,Cardiff,05-Feb-83
England,lost,12,22,-10,9,9,v Scotland,Twickenham,05-Mar-83
England,lost,15,25,-10,12,10,v Ireland,Lansdowne Road,19-Mar-83
England,won,15,9,6,6,3,v New Zealand,Twickenham,19-Nov-83
England,lost,6,18,-12,3,6,v Scotland,Murrayfield,04-Feb-84
England,won,12,9,3,9,6,v Ireland,Twickenham,18-Feb-84
England,lost,18,32,-14,6,9,v France,Parc des Princes,03-Mar-84
England,lost,15,24,-9,9,6,v Wales,Twickenham,17-Mar-84
England,lost,15,33,-18,12,12,v South Africa,Port Elizabeth,02-Jun-84
England,lost,9,35,-26,3,22,v South Africa,Johannesburg,09-Jun-84
England,lost,3,19,-16,3,3,v Australia,Twickenham,03-Nov-84
England,won,22,15,7,15,9,v Romania,Twickenham,05-Jan-85
England,draw,9,9,0,3,6,v France,Twickenham,02-Feb-85
England,won,10,7,3,6,4,v Scotland,Twickenham,16-Mar-85
England,lost,10,13,-3,3,7,v Ireland,Lansdowne Road,30-Mar-85
England,lost,15,24,-9,12,12,v Wales,Cardiff,20-Apr-85
England,lost,13,18,-5,13,12,v New Zealand,Christchurch,01-Jun-85
England,lost,15,42,-27,9,13,v New Zealand,Wellington,08-Jun-85
England,won,21,18,3,12,9,v Wales,Twickenham,18-Jan-86
England,lost,6,33,-27,6,12,v Scotland,Murrayfield,15-Feb-86
England,won,25,20,5,9,10,v Ireland,Twickenham,01-Mar-86
England,lost,10,29,-19,0,10,v France,Parc des Princes,15-Mar-86
England,lost,0,17,-17,0,9,v Ireland,Lansdowne Road,07-Feb-87
